"Timestamp","Lamp1","Lamp2","Lamp3","Lux","ColorTemperature","Red","Green","Blue",
1588055020661,0,0,0,2252,4745,5008,4594,4608,
1588055051074,0,0,0,2133,4752,4795,4387,4418,
1588055081492,0,0,0,2132,4780,4781,4388,4429,
1588055112005,0,0,0,2136,4784,4801,4405,4451,
1588055142419,0,0,0,1908,4948,4210,3939,4020,
1588055172831,0,0,0,2166,4791,4876,4474,4525,
1588055203244,0,0,0,2183,4783,4924,4512,4563,
1588055233658,0,0,0,2241,4750,5077,4633,4676,
1588055264070,0,0,0,2182,4802,4913,4512,4569,
1588055294483,0,0,0,2233,4829,4996,4608,4670,
1588055325110,0,0,0,2303,4817,5136,4737,4790,
1588055355514,0,0,0,2377,4825,5268,4872,4921,
1588055385828,0,0,0,2433,4803,5377,4968,5004,
1588055416241,0,0,0,2396,4779,5326,4903,4936,
1588055446758,0,0,0,2393,4732,5391,4923,4955,
1588055477272,0,0,0,2179,4812,4892,4503,4563,
1588055507686,0,0,0,1243,5782,2398,2524,2681,
1588055538098,0,0,0,2472,4661,5641,5104,5127,
1588055568409,0,0,0,1444,5558,2830,2901,3027,
1588055598926,0,0,0,1373,5654,2614,2728,2847,
1588055629338,0,0,0,1464,5625,2772,2889,2999,
1588055659753,0,0,0,1439,5664,2690,2824,2930,
1588055690269,0,0,0,2329,4822,5046,4703,4721,
1588055720784,0,0,0,2524,4779,5525,5117,5135,
1588055751300,0,0,0,2718,4691,6072,5551,5563,
1588055781713,0,0,0,2468,4703,5570,5080,5112,
1588055812331,0,0,0,2097,4885,4615,4303,4367,
1588055842846,0,0,0,1169,5931,2181,2350,2503,
1588055873260,0,0,0,1152,5851,2178,2321,2465,
1588055903674,0,0,0,1458,5393,2937,2940,3044,
1588055934085,0,0,0,1324,5616,2523,2624,2730,
1588055964501,0,0,0,1312,5512,2547,2609,2703,
1588055994917,0,0,0,2122,4799,4660,4316,4340,
1588056025326,0,0,0,1565,5375,3088,3106,3190,
1588056055845,0,0,0,1374,5680,2558,2695,2799,
1588056086358,0,0,0,1314,5753,2428,2580,2691,
1588056116876,0,0,0,1206,5642,2273,2377,2469,
1588056147597,0,0,0,1149,5513,2220,2276,2353,
1588056178010,0,0,0,1359,5175,2784,2719,2771,
1588056208421,0,0,0,2139,4533,4918,4402,4388,
1588056238835,0,0,0,1188,5574,2274,2350,2435,
1588056269351,0,0,0,1145,5718,2141,2257,2353,
1588056299765,0,0,0,1121,5754,2084,2208,2305,
1588056330200,0,0,0,1094,5891,1981,2142,2245,
1588056360694,0,0,0,1074,5888,1932,2094,2190,
1588056391008,0,0,0,1062,5820,1924,2068,2154,
1588056421418,0,0,0,969,5683,1795,1893,1962,
1588056451838,0,0,0,997,5415,1951,1974,2029,
1588056482346,0,0,0,885,5532,1706,1753,1814,
1588056512762,0,0,0,911,5523,1759,1805,1867,
1588056543279,0,0,0,937,5548,1803,1856,1922,
1588056573588,0,0,0,1070,5414,2103,2125,2187,
1588056604001,0,0,0,984,5537,1889,1945,2011,
1588056634414,0,0,0,2177,4395,5167,4534,4511,
1588056664827,0,0,0,2379,4377,5686,4976,4957,
1588056695343,0,0,0,2597,4443,6129,5412,5403,
1588056725962,0,0,0,2228,4626,5086,4596,4611,
1588056756478,0,0,0,1934,4885,4220,3946,3995,
1588056786994,0,0,0,1626,5334,3255,3246,3334,
1588056817511,0,0,0,1378,5800,2533,2705,2826,
1588056847923,0,0,0,2868,4571,6622,5943,5960,
1588056878335,0,0,0,1417,5776,2613,2782,2904,
1588056908957,0,0,0,1419,5927,2547,2774,2913,
1588056939367,0,0,0,2408,4909,5227,4905,4969,
1588056969780,0,0,0,2714,4590,6272,5631,5653,
1588057000293,0,0,0,2718,4647,6236,5637,5676,
1588057030812,0,0,0,2767,4728,6285,5735,5799,
1588057061226,0,0,0,2871,4818,6439,5941,6032,
1588057091640,0,0,0,2858,4885,6387,5931,6052,
1588057122051,0,0,0,2786,4913,6230,5797,5931,
1588057152671,0,0,0,2713,4906,6105,5667,5805,
1588057183083,0,0,0,2635,4907,5964,5527,5672,
1588057213598,0,0,0,2579,4912,5859,5425,5576,
1588057244017,0,0,0,2557,4922,5812,5385,5541,
1588057274527,0,0,0,2521,4925,5747,5322,5482,
1588057305054,0,0,0,2494,4911,5702,5269,5425,
1588057335561,0,0,0,2474,4913,5663,5232,5390,
1588057366075,0,0,0,2429,4915,5580,5150,5312,
1588057396490,0,0,0,2380,4917,5492,5063,5230,
1588057427004,0,0,0,2369,4935,5465,5046,5220,
1588057457415,0,0,0,2311,4937,5349,4935,5111,
1588057487831,0,0,0,2300,4926,5343,4919,5095,
1588057518348,0,0,0,2289,4935,5316,4898,5077,
1588057548758,0,0,0,2280,4932,5300,4881,5059,
1588057579172,0,0,0,2277,4930,5294,4874,5051,
1588057609586,0,0,0,2273,4923,5290,4866,5041,
1588057640001,0,0,0,2270,4916,5287,4859,5031,
1588057670412,0,0,0,2272,4921,5287,4862,5035,
1588057700826,0,0,0,2268,4919,5280,4854,5026,
1588057731263,0,0,0,2276,4920,5295,4869,5041,
1588057761653,0,0,0,2262,4920,5263,4839,5010,
1588057792172,0,0,0,2282,4923,5304,4880,5052,
1588057822585,0,0,0,2295,4923,5329,4904,5076,
1588057853098,0,0,0,2313,4934,5355,4937,5110,
1588057883612,0,0,0,2229,5016,5094,4747,4931,
1588057914027,0,0,0,2359,4961,5408,5012,5186,
1588057944547,0,0,0,2369,4956,5432,5032,5204,
1588057975060,0,0,0,2384,4945,5479,5067,5239,
1588058005372,0,0,0,2422,4889,5610,5152,5312,
1588058035886,0,0,0,2400,4900,5545,5101,5261,
1588058066301,0,0,0,2444,4933,5592,5174,5337,
1588058096715,0,0,0,2621,4995,5851,5482,5645,
1588058127151,0,0,0,2504,4976,5644,5264,5427,
1588058157566,0,0,0,2483,4953,5642,5240,5404,
1588058188060,0,0,0,2508,4948,5701,5292,5456,
1588058218471,0,0,0,2508,4949,5708,5297,5464,
1588058248885,0,0,0,2545,4967,5751,5357,5523,
1588058279299,0,0,0,2481,4942,5646,5236,5397,
1588058309733,0,0,0,2489,4939,5672,5257,5419,
1588058340332,0,0,0,2528,4912,5742,5315,5460,
1588058370743,0,0,0,2503,4851,5731,5266,5393,
1588058401165,0,0,0,2567,4830,5866,5383,5499,
1588058431672,0,0,0,2634,4831,5990,5505,5615,
1588058462088,0,0,0,2640,4785,6024,5509,5600,
1588058492500,0,0,0,1812,5365,3778,3730,3892,
1588058522918,0,0,0,1290,6127,2384,2623,2836,
1588058553329,0,0,0,1158,6141,2139,2360,2558,
1588058583745,0,0,0,1100,5921,2074,2229,2383,
1588058614155,0,0,0,1161,5542,2298,2347,2455,
1588058644568,0,0,0,2056,4635,4727,4253,4265,
1588058675027,0,0,0,2512,4479,5902,5211,5187,
1588058705397,0,0,0,2551,4526,5946,5284,5271,
1588058735809,0,0,0,2627,4581,6079,5441,5447,
1588058766326,0,0,0,1331,5719,2576,2693,2845,
1588058796739,0,0,0,1263,5909,2378,2553,2725,
1588058827151,0,0,0,1271,5986,2355,2561,2741,
1588058857670,0,0,0,1276,6030,2333,2559,2739,
1588058888184,0,0,0,1239,6016,2252,2472,2638,
1588058918700,0,0,0,1145,5998,2084,2284,2436,
1588058949216,0,0,0,1077,5979,1956,2142,2280,
1588058979834,0,0,0,982,5932,1782,1945,2062,
1588059010249,0,0,0,868,5891,1607,1737,1846,
1588059040562,0,0,0,773,5818,1450,1550,1643,
1588059071084,0,0,0,708,5808,1336,1424,1510,
1588059101593,0,0,0,651,5782,1236,1311,1389,
1588059132107,0,0,0,624,5721,1198,1259,1330,
1588059162521,0,0,0,639,5576,1258,1293,1356,
1588059192935,0,0,0,1421,4549,3290,2932,2921,
1588059223244,0,0,0,620,5538,1230,1257,1317,
1588059253660,0,0,0,610,5549,1208,1237,1297,
1588059284173,0,0,0,629,5491,1260,1278,1337,
1588059314587,0,0,0,1491,4497,3495,3089,3073,
1588059345001,0,0,0,2121,4270,5134,4419,4354,
1588059375413,0,0,0,2153,4306,5193,4488,4432,
1588059405937,0,0,0,2198,4339,5287,4585,4539,
1588059436345,0,0,0,1359,4881,3047,2820,2872,
1588059466765,0,0,0,954,5599,1937,1973,2091,
1588059497174,0,0,0,965,5835,1894,1992,2137,
1588059527787,0,0,0,1048,5946,2004,2146,2306,
1588059558408,0,0,0,1174,5839,2270,2397,2558,
1588059588822,0,0,0,1436,5462,2933,2941,3078,
1588059619338,0,0,0,2589,4709,5879,5350,5392,
1588059649853,0,0,0,1751,5349,3610,3572,3709,
1588059680264,0,0,0,1920,5329,3953,3906,4046,
1588059710676,0,0,0,1767,5529,3525,3580,3742,
1588059740987,0,0,0,1749,5644,3419,3530,3706,
1588059771401,0,0,0,1670,5743,3233,3378,3568,
1588059801813,0,0,0,1324,6302,2364,2667,2893,
1588059832227,0,0,0,1480,6161,2650,2946,3155,
1588059862742,0,0,0,1375,6225,2411,2717,2911,
1588059893256,0,0,0,2548,4885,5518,5169,5218,
1588059923667,0,0,0,2340,4788,5180,4780,4812,
1588059954191,0,0,0,2255,4714,5056,4617,4632,
1588059984596,0,0,0,2172,4652,4934,4463,4468,
1588060015112,0,0,0,2122,4633,4837,4363,4363,
1588060045524,0,0,0,2152,4663,4884,4422,4429,
1588060076041,0,0,0,2165,4675,4899,4443,4449,
1588060106555,0,0,0,1886,4751,4227,3867,3887,
1588060136967,0,0,0,2134,4627,4856,4375,4365,
1588060167486,0,0,0,2141,4634,4864,4387,4377,
1588060198001,0,0,0,2115,4645,4819,4346,4344,
1588060228414,0,0,0,2086,4647,4776,4301,4306,
1588060258825,0,0,0,2169,4675,4945,4470,4482,
1588060289240,0,0,0,2203,4761,4971,4543,4581,
1588060319753,0,0,0,2340,4788,5255,4821,4868,
1588060350170,0,0,0,2167,4982,4745,4462,4556,
1588060380685,0,0,0,2097,5118,4506,4313,4437,
1588060411099,0,0,0,1573,5653,3167,3248,3449,
1588060441510,0,0,0,1563,5825,3041,3203,3422,
1588060471925,0,0,0,2208,5333,4554,4500,4667,
1588060502440,0,0,0,1681,6000,3147,3406,3652,
